Time (ms),Voltage (V),Current (A),Temperature (°C),Motor Speed (RPM),Hall Code,Estimated SOC (%),Ground Truth SOC (%),Residual (%),Fault Label
37600,3.69,2.0,27.9,1190,101,87.1,87.39999999999999,0.3,Normal
37700,3.62,3.31,33.4,1291,011,93.8,96.3,2.5,Warning
37800,3.82,1.27,27.1,1185,010,98.5,96.1,2.4,Warning
37900,3.52,1.38,23.2,1321,100,96.9,98.60000000000001,1.7,Warning
38000,3.52,5.0,32.1,1200,010,93.2,95.60000000000001,2.4,Warning
38100,3.54,2.31,33.2,1325,001,91.3,92.2,0.9,Normal
38200,3.39,3.99,23.4,1159,000,94.3,91.89999999999999,2.4,Warning
38300,3.55,4.23,28.5,1349,000,91.7,91.9,0.2,Normal
38400,3.52,4.43,36.0,1147,101,88.7,88.7,0.0,Normal
38500,3.62,4.99,33.0,1216,100,95.2,94.0,1.2,Warning
38600,3.63,1.97,28.0,1326,010,98.1,97.8,0.3,Normal
38700,3.79,1.16,27.0,1132,101,90.6,88.19999999999999,2.4,Warning
38800,3.7,2.64,39.7,1143,011,97.6,97.5,0.1,Normal
38900,3.54,1.52,22.8,1264,101,91.5,91.3,0.2,Normal
39000,3.51,1.09,29.7,1391,011,91.0,87.1,3.9,Fault
39100,3.65,2.44,22.7,1386,011,85.4,84.80000000000001,0.6,Normal
39200,3.47,4.13,36.6,1324,001,95.4,94.60000000000001,0.8,Normal
39300,3.78,3.26,30.0,1385,001,97.1,96.89999999999999,0.2,Normal
39400,3.72,2.25,30.9,1303,011,95.0,98.1,3.1,Fault
39500,3.55,3.62,43.8,1271,111,87.3,85.5,1.8,Warning
39600,3.43,1.93,27.0,1111,100,86.5,83.5,3.0,Warning
39700,3.74,1.06,38.7,1220,001,93.6,91.19999999999999,2.4,Warning
39800,3.59,4.06,28.0,1343,001,91.0,91.3,0.3,Normal
39900,3.72,3.49,28.8,1251,000,91.4,91.2,0.2,Normal
40000,3.44,4.05,43.2,1251,101,99.5,98.5,1.0,Normal
40100,3.54,1.16,29.2,1287,000,95.9,94.9,1.0,Normal
40200,3.6,4.35,23.1,1112,100,91.2,89.7,1.5,Warning
40300,3.6,3.48,31.4,1190,001,85.3,84.5,0.8,Normal
40400,3.55,3.25,29.1,1299,110,85.5,85.5,0.0,Normal
40500,3.66,3.5,31.8,1173,111,95.3,94.6,0.7,Normal
40600,3.49,4.46,29.3,1355,001,97.6,95.6,2.0,Warning
40700,3.59,3.35,41.1,1375,010,95.6,90.69999999999999,4.9,Fault
40800,3.61,3.32,32.8,1170,100,91.1,91.3,0.2,Normal
40900,3.65,4.96,24.6,1177,110,85.5,84.7,0.8,Normal
41000,3.67,4.03,30.6,1383,101,99.5,99.5,0.0,Normal
41100,3.49,2.77,26.0,1229,101,99.8,98.8,1.0,Normal
41200,3.45,3.83,28.8,1142,110,93.2,91.2,2.0,Warning
41300,3.73,2.56,25.4,1107,101,86.1,85.89999999999999,0.2,Normal
41400,3.63,1.92,40.5,1112,111,93.1,95.69999999999999,2.6,Warning
41500,3.53,3.39,26.5,1312,110,98.4,96.4,2.0,Warning
41600,3.76,4.71,33.4,1210,100,95.2,94.5,0.7,Normal
41700,3.61,4.72,28.4,1390,110,95.8,95.8,0.0,Normal
41800,3.72,2.37,24.2,1122,110,86.3,86.6,0.3,Normal
41900,3.61,3.11,31.0,1353,010,86.6,85.6,1.0,Normal
42000,3.81,1.85,32.0,1114,010,86.9,87.4,0.5,Normal
42100,3.78,4.98,32.8,1229,000,98.6,99.0,0.4,Normal
42200,3.58,4.92,16.9,1160,100,92.9,94.30000000000001,1.4,Warning
42300,3.7,3.6,23.8,1214,100,96.9,97.4,0.5,Normal
42400,3.66,4.22,34.8,1166,010,86.7,85.3,1.4,Warning
42500,3.74,3.86,25.4,1348,011,98.9,100.5,1.6,Warning
42600,3.5,3.37,31.0,1274,011,97.3,95.1,2.2,Warning
42700,3.67,1.21,23.7,1101,000,88.4,89.7,1.3,Warning
42800,3.71,2.82,33.7,1271,111,98.1,97.39999999999999,0.7,Normal
42900,3.42,3.7,34.7,1383,011,89.0,87.8,1.2,Warning
43000,3.48,3.71,33.7,1153,011,88.1,86.39999999999999,1.7,Warning
43100,3.4,2.49,35.2,1166,011,89.0,87.3,1.7,Warning
43200,3.57,4.77,37.8,1201,111,98.6,98.19999999999999,0.4,Normal
43300,3.67,1.67,24.1,1219,001,98.7,98.5,0.2,Normal
43400,3.75,3.0,26.1,1290,000,89.9,88.5,1.4,Warning
43500,3.61,3.76,34.5,1146,010,95.6,94.69999999999999,0.9,Normal
43600,3.76,3.79,35.7,1321,011,95.1,95.1,0.0,Normal
43700,3.46,3.59,26.6,1120,101,97.1,96.0,1.1,Warning
43800,3.43,2.1,26.3,1257,110,89.4,89.2,0.2,Normal
43900,3.59,1.62,26.7,1258,001,92.7,93.10000000000001,0.4,Normal
44000,3.64,3.54,22.0,1334,111,95.0,95.1,0.1,Normal
44100,3.6,3.4,23.6,1249,111,85.4,84.2,1.2,Warning
44200,3.39,1.72,23.8,1356,111,90.7,91.60000000000001,0.9,Normal
44300,3.59,3.82,28.5,1264,011,95.4,93.2,2.2,Warning
44400,3.47,2.82,31.4,1176,110,88.8,89.1,0.3,Normal
44500,3.67,3.67,32.2,1184,110,99.4,102.30000000000001,2.9,Warning
44600,3.64,4.35,27.5,1145,001,85.5,84.2,1.3,Warning
44700,3.51,1.68,27.6,1146,000,99.4,103.0,3.6,Fault
44800,3.55,1.08,30.6,1312,111,88.3,89.3,1.0,Normal
44900,3.49,4.12,22.5,1158,101,85.7,81.60000000000001,4.1,Fault
45000,3.59,3.44,34.8,1153,101,89.4,87.30000000000001,2.1,Warning
45100,3.7,3.8,36.4,1111,101,96.8,94.8,2.0,Warning
45200,3.5,4.35,26.9,1291,111,96.3,97.5,1.2,Warning
45300,3.65,4.21,28.0,1105,011,88.1,87.89999999999999,0.2,Normal
45400,3.55,4.84,36.2,1243,001,88.0,85.6,2.4,Warning
45500,3.52,3.14,29.4,1360,111,94.6,93.1,1.5,Warning
45600,3.59,2.95,32.9,1172,101,91.9,89.7,2.2,Warning
45700,3.5,2.61,29.5,1273,110,96.9,93.7,3.2,Fault
45800,3.54,1.61,37.8,1331,111,85.4,83.9,1.5,Warning
45900,3.48,3.29,32.5,1369,110,94.2,95.5,1.3,Warning
46000,3.8,2.11,32.7,1321,100,96.0,94.6,1.4,Warning
46100,3.6,4.69,32.8,1151,111,99.9,99.80000000000001,0.1,Normal
46200,3.53,3.33,27.2,1215,100,95.2,96.60000000000001,1.4,Warning
46300,3.62,3.37,27.7,1125,001,88.5,86.7,1.8,Warning
46400,3.59,2.42,33.8,1152,111,86.6,84.3,2.3,Warning
46500,3.58,1.21,30.6,1128,011,94.6,94.19999999999999,0.4,Normal
46600,3.66,1.13,24.1,1118,011,92.8,91.8,1.0,Normal
46700,3.68,2.69,39.4,1378,000,98.5,101.1,2.6,Warning
46800,3.55,1.34,34.9,1216,000,95.9,93.7,2.2,Warning
46900,3.54,3.43,30.2,1205,101,92.6,90.89999999999999,1.7,Warning
47000,3.57,4.52,28.6,1326,010,91.1,90.19999999999999,0.9,Normal
47100,3.37,4.53,31.0,1285,110,91.1,92.5,1.4,Warning
47200,3.45,3.64,32.6,1360,000,88.4,90.4,2.0,Warning
47300,3.74,1.84,19.8,1115,011,85.3,81.8,3.5,Fault
47400,3.76,4.45,40.6,1372,110,93.6,94.6,1.0,Normal
47500,3.58,4.54,26.1,1259,010,88.2,87.5,0.7,Normal
47600,3.66,1.79,30.0,1349,000,88.1,89.1,1.0,Normal
47700,3.63,3.95,30.2,1323,001,86.9,89.80000000000001,2.9,Warning
47800,3.91,2.15,40.0,1355,100,87.8,86.6,1.2,Warning
47900,3.71,4.21,29.6,1279,000,85.5,84.1,1.4,Warning
48000,3.59,4.99,37.9,1119,111,95.1,97.1,2.0,Warning
48100,3.5,1.12,32.0,1211,000,91.0,88.8,2.2,Warning
48200,3.44,4.59,25.2,1219,111,93.4,93.7,0.3,Normal
48300,3.62,3.49,30.7,1293,001,94.6,95.69999999999999,1.1,Warning
48400,3.52,4.89,29.4,1210,011,99.6,100.8,1.2,Warning
48500,3.46,2.86,24.6,1309,101,86.0,84.2,1.8,Warning
48600,3.54,4.39,31.8,1100,001,91.3,93.7,2.4,Warning
48700,3.49,1.25,30.1,1157,101,88.7,90.10000000000001,1.4,Warning
48800,3.77,2.34,32.8,1192,000,92.2,91.10000000000001,1.1,Warning
48900,3.69,1.27,31.0,1320,011,98.8,97.89999999999999,0.9,Normal
49000,3.6,4.9,26.7,1310,010,95.9,96.9,1.0,Normal
49100,3.75,4.27,33.8,1331,000,94.9,92.5,2.4,Warning
49200,3.61,4.41,26.9,1361,001,91.6,92.8,1.2,Warning
49300,3.51,4.75,14.5,1202,010,95.1,94.89999999999999,0.2,Normal
49400,3.75,1.34,30.6,1149,100,85.5,85.5,0.0,Normal
49500,3.65,2.54,27.2,1209,010,93.8,93.8,0.0,Normal
49600,3.5,1.28,31.9,1187,001,93.3,93.1,0.2,Normal
49700,3.58,1.84,40.0,1119,110,90.2,90.0,0.2,Normal
49800,3.51,1.92,40.1,1113,010,88.0,87.9,0.1,Normal
49900,3.46,2.88,29.2,1232,001,97.1,96.89999999999999,0.2,Normal
50000,3.69,2.07,25.9,1395,110,85.8,83.7,2.1,Warning
50100,3.79,1.4,32.9,1133,000,86.0,85.8,0.2,Normal
50200,3.46,1.67,28.1,1307,110,91.6,90.1,1.5,Warning
50300,3.66,1.59,32.0,1298,011,88.8,88.1,0.7,Normal
50400,3.53,4.89,26.7,1179,100,96.2,95.2,1.0,Normal
50500,3.55,4.04,31.3,1170,110,94.5,92.8,1.7,Warning
50600,3.54,4.87,25.9,1254,011,96.6,97.8,1.2,Warning
50700,3.51,2.76,35.9,1177,011,89.9,88.5,1.4,Warning
50800,3.6,2.11,27.1,1177,011,96.1,95.89999999999999,0.2,Normal
50900,3.52,4.19,33.3,1271,110,97.9,98.80000000000001,0.9,Normal
51000,3.63,2.31,23.7,1388,001,90.2,88.5,1.7,Warning
51100,3.59,2.2,33.9,1132,111,90.1,90.19999999999999,0.1,Normal
51200,3.58,1.93,25.2,1399,001,98.5,97.4,1.1,Warning
51300,3.51,1.52,31.3,1375,100,85.7,89.3,3.6,Fault
51400,3.54,2.03,35.1,1106,001,90.3,88.7,1.6,Warning
51500,3.68,2.42,29.0,1259,101,86.8,82.39999999999999,4.4,Fault
51600,3.65,3.7,24.9,1339,001,85.4,84.9,0.5,Normal
51700,3.5,1.25,32.5,1123,001,86.7,86.60000000000001,0.1,Normal
51800,3.61,1.84,25.8,1313,001,91.5,91.7,0.2,Normal
51900,3.68,4.24,28.0,1169,000,95.3,94.0,1.3,Warning
52000,3.43,1.59,31.3,1315,100,89.3,89.3,0.0,Normal
52100,3.65,2.37,36.8,1203,101,97.7,96.2,1.5,Warning
52200,3.53,4.46,30.1,1314,001,91.6,88.5,3.1,Fault
52300,3.66,1.62,30.1,1153,111,99.5,97.7,1.8,Warning
52400,3.52,1.33,33.7,1393,100,99.3,99.1,0.2,Normal
52500,3.42,2.94,30.3,1302,010,96.6,97.8,1.2,Warning
52600,3.44,2.21,33.2,1387,000,99.0,99.1,0.1,Normal
52700,3.6,3.25,35.4,1144,110,95.6,95.3,0.3,Normal
52800,3.63,4.22,28.4,1297,111,98.4,99.9,1.5,Warning
52900,3.51,1.55,13.6,1315,001,88.5,86.4,2.1,Warning
53000,3.66,3.32,25.9,1283,111,90.2,88.8,1.4,Warning
53100,3.43,3.02,36.0,1126,101,96.3,97.39999999999999,1.1,Warning
53200,3.59,1.58,29.8,1265,000,91.4,93.60000000000001,2.2,Warning
53300,3.48,3.5,28.3,1373,101,97.6,96.0,1.6,Warning
53400,3.53,2.09,35.8,1202,110,98.2,100.2,2.0,Warning
53500,3.6,2.95,29.5,1203,110,89.5,88.9,0.6,Normal
53600,3.51,1.33,19.5,1344,111,97.4,97.5,0.1,Normal
53700,3.56,2.84,22.5,1268,000,87.3,85.6,1.7,Warning
53800,3.7,2.23,32.1,1215,010,90.0,88.3,1.7,Warning
53900,3.54,4.29,29.7,1240,111,92.8,93.5,0.7,Normal
54000,3.68,1.23,37.3,1224,100,88.4,86.60000000000001,1.8,Warning
54100,3.49,2.67,26.3,1124,000,93.7,93.60000000000001,0.1,Normal
54200,3.65,2.83,28.5,1293,011,93.7,93.2,0.5,Normal
54300,3.74,3.9,25.6,1199,110,88.1,87.5,0.6,Normal
54400,3.35,3.3,27.4,1104,010,96.9,93.0,3.9,Fault
54500,3.52,3.67,20.5,1118,111,94.5,94.2,0.3,Normal
54600,3.66,4.11,28.1,1269,110,89.8,91.8,2.0,Warning
54700,3.58,4.45,29.7,1373,011,88.5,89.1,0.6,Normal
54800,3.64,2.26,29.3,1353,010,98.2,96.60000000000001,1.6,Warning
54900,3.54,3.15,40.7,1220,110,97.5,97.4,0.1,Normal
55000,3.61,4.36,39.2,1131,011,88.4,87.9,0.5,Normal
55100,3.58,4.96,26.2,1248,011,85.5,85.6,0.1,Normal
55200,3.72,4.56,19.8,1365,110,97.1,100.8,3.7,Fault
55300,3.63,2.49,29.5,1136,111,94.2,94.9,0.7,Normal
55400,3.63,1.78,31.9,1276,110,86.5,86.1,0.4,Normal
55500,3.56,2.96,25.7,1112,101,93.8,96.0,2.2,Warning
55600,3.55,3.97,25.9,1282,000,91.8,93.1,1.3,Warning
55700,3.56,2.97,37.9,1244,000,96.6,96.6,0.0,Normal
55800,3.64,2.93,28.7,1364,010,88.1,88.1,0.0,Normal
55900,3.56,4.35,33.3,1187,100,91.8,90.7,1.1,Warning
56000,3.63,2.45,25.3,1145,110,87.3,87.2,0.1,Normal
56100,3.81,4.44,29.7,1218,111,99.4,98.4,1.0,Normal
56200,3.69,2.63,28.3,1118,101,96.7,97.3,0.6,Normal
56300,3.57,2.31,26.6,1319,000,96.1,95.3,0.8,Normal
56400,3.72,2.82,35.8,1332,000,95.4,92.7,2.7,Warning
56500,3.56,4.05,23.1,1193,111,91.4,90.5,0.9,Normal
56600,3.4,1.5,31.5,1350,101,98.8,98.7,0.1,Normal
56700,3.5,1.79,28.2,1349,001,86.1,87.0,0.9,Normal
56800,3.41,4.81,32.1,1381,101,97.0,96.4,0.6,Normal
56900,3.56,1.7,28.3,1331,111,88.2,88.0,0.2,Normal
57000,3.6,3.27,34.3,1145,000,89.9,88.60000000000001,1.3,Warning
57100,3.77,3.32,25.3,1145,100,92.8,95.0,2.2,Warning
57200,3.63,2.96,35.8,1113,001,96.7,96.5,0.2,Normal
57300,3.58,3.58,29.9,1184,111,97.6,96.5,1.1,Warning
57400,3.68,1.92,23.4,1102,111,93.8,93.1,0.7,Normal
57500,3.38,3.21,33.4,1127,011,91.0,91.0,0.0,Normal
57600,3.62,2.49,29.0,1256,101,99.2,99.2,0.0,Normal
57700,3.68,3.65,21.5,1274,011,88.7,89.8,1.1,Warning
57800,3.45,1.56,31.7,1213,001,97.0,95.9,1.1,Warning
57900,3.71,3.28,35.0,1349,001,94.2,93.10000000000001,1.1,Warning
58000,3.63,1.74,36.4,1158,001,90.7,92.3,1.6,Warning
58100,3.56,2.11,28.1,1302,010,85.0,83.4,1.6,Warning
58200,3.66,1.87,30.7,1338,101,91.7,92.2,0.5,Normal
58300,3.83,1.73,30.3,1333,111,89.2,89.3,0.1,Normal
58400,3.62,4.3,37.4,1194,110,86.6,83.3,3.3,Fault
58500,3.62,2.14,25.9,1240,100,86.1,83.19999999999999,2.9,Warning
58600,3.55,4.71,27.7,1212,100,90.2,91.9,1.7,Warning
58700,3.52,4.88,25.8,1208,111,94.2,95.60000000000001,1.4,Warning
58800,3.68,3.29,22.8,1388,011,97.6,98.69999999999999,1.1,Warning
58900,3.51,1.57,31.2,1196,111,87.8,84.89999999999999,2.9,Warning
59000,3.61,2.5,38.0,1115,011,91.4,91.80000000000001,0.4,Normal
59100,3.55,4.19,29.0,1143,110,90.9,92.60000000000001,1.7,Warning
59200,3.65,2.47,25.6,1329,011,92.7,90.4,2.3,Warning
59300,3.63,1.35,30.9,1207,101,97.1,95.69999999999999,1.4,Warning
59400,3.7,3.23,32.9,1316,000,93.3,89.39999999999999,3.9,Fault
59500,3.55,4.38,29.2,1359,011,97.7,96.3,1.4,Warning
59600,3.57,4.18,37.0,1295,001,92.8,92.3,0.5,Normal
59700,3.5,1.7,25.9,1194,011,94.1,93.19999999999999,0.9,Normal
59800,3.56,3.69,28.6,1155,001,91.6,91.8,0.2,Normal
59900,3.64,1.88,31.5,1131,010,97.3,94.8,2.5,Warning
60000,3.68,1.87,32.0,1330,000,98.9,96.4,2.5,Warning
60100,3.51,4.5,30.2,1108,000,94.6,96.5,1.9,Warning
60200,3.69,2.0,23.6,1290,110,97.3,95.39999999999999,1.9,Warning
60300,3.74,2.05,41.7,1299,101,85.9,87.0,1.1,Warning
60400,3.64,1.0,28.8,1260,111,98.6,94.5,4.1,Fault
60500,3.79,4.48,30.6,1186,101,87.8,85.0,2.8,Warning
60600,3.52,4.17,33.1,1120,100,88.8,90.0,1.2,Warning
60700,3.48,3.51,26.8,1175,010,85.8,84.89999999999999,0.9,Normal
60800,3.42,4.0,30.3,1240,110,99.5,97.5,2.0,Warning
60900,3.75,1.61,26.6,1225,101,97.8,98.2,0.4,Normal
61000,3.67,2.83,32.1,1350,001,98.7,100.2,1.5,Warning
61100,3.59,2.4,28.6,1183,010,97.7,97.0,0.7,Normal
61200,3.63,1.38,31.3,1147,000,92.2,91.9,0.3,Normal
61300,3.49,2.94,24.8,1177,111,98.9,99.80000000000001,0.9,Normal
61400,3.84,4.68,25.9,1129,111,99.5,97.1,2.4,Warning
61500,3.61,1.16,23.2,1384,001,92.5,93.9,1.4,Warning
61600,3.61,2.17,26.4,1235,110,87.6,87.3,0.3,Normal
61700,3.67,1.83,17.1,1239,110,94.9,94.10000000000001,0.8,Normal
61800,3.65,1.95,28.5,1140,010,99.6,98.6,1.0,Normal
61900,3.62,4.63,27.3,1381,000,98.1,95.89999999999999,2.2,Warning
62000,3.52,2.87,30.8,1149,101,97.9,97.80000000000001,0.1,Normal
62100,3.65,2.87,30.2,1357,001,99.0,102.4,3.4,Fault
62200,3.79,4.04,36.3,1369,001,98.4,98.5,0.1,Normal
62300,3.73,1.62,43.0,1233,000,96.6,95.0,1.6,Warning
62400,3.76,2.95,35.7,1333,001,95.8,95.5,0.3,Normal
62500,3.55,2.72,27.7,1227,111,89.0,88.7,0.3,Normal
62600,3.5,3.39,27.5,1203,101,94.3,93.0,1.3,Warning
62700,3.59,5.0,34.3,1353,101,92.8,91.3,1.5,Warning
62800,3.61,4.08,21.6,1194,101,97.9,100.10000000000001,2.2,Warning
62900,3.71,2.59,28.4,1316,000,92.4,91.9,0.5,Normal
63000,3.43,4.31,28.8,1160,011,86.9,86.7,0.2,Normal
63100,3.75,1.68,32.9,1367,011,85.1,84.5,0.6,Normal
63200,3.58,1.12,33.1,1340,110,95.2,97.7,2.5,Warning
63300,3.56,1.82,26.3,1112,110,93.2,90.7,2.5,Warning
63400,3.5,2.36,27.9,1246,111,90.0,89.5,0.5,Normal
63500,3.43,3.04,32.2,1339,001,87.5,86.4,1.1,Warning
63600,3.68,3.46,26.0,1188,101,92.0,88.9,3.1,Fault
63700,3.61,4.64,36.0,1194,001,86.5,85.3,1.2,Warning
63800,3.47,3.04,33.0,1392,000,90.0,91.8,1.8,Warning
63900,3.47,3.01,30.9,1124,001,90.7,90.3,0.4,Normal
64000,3.57,1.2,32.0,1371,100,92.0,90.5,1.5,Warning
64100,3.77,1.14,27.7,1265,011,92.0,91.4,0.6,Normal
64200,3.57,3.2,26.9,1349,001,88.9,85.80000000000001,3.1,Fault
64300,3.45,2.75,27.9,1186,001,97.8,98.6,0.8,Normal
64400,3.58,4.36,32.5,1241,010,90.3,87.89999999999999,2.4,Warning
64500,3.57,1.64,31.0,1233,111,88.4,86.60000000000001,1.8,Warning
64600,3.33,1.1,27.9,1378,001,87.6,87.0,0.6,Normal
64700,3.59,2.8,33.7,1225,100,89.8,88.8,1.0,Normal
64800,3.58,1.95,29.1,1240,011,86.0,87.0,1.0,Normal
64900,3.67,1.2,26.5,1202,010,85.5,85.5,0.0,Normal
65000,3.78,3.9,31.3,1325,111,94.1,92.69999999999999,1.4,Warning
65100,3.71,1.45,24.9,1162,000,94.3,94.0,0.3,Normal
65200,3.57,3.43,21.6,1393,110,92.9,92.30000000000001,0.6,Normal
65300,3.49,2.12,30.0,1353,000,96.4,94.4,2.0,Warning
65400,3.86,1.69,26.7,1279,011,85.6,88.0,2.4,Warning
65500,3.61,2.52,28.7,1139,110,99.0,97.9,1.1,Warning
65600,3.6,4.21,25.2,1363,000,86.4,83.2,3.2,Fault
65700,3.6,2.57,36.0,1288,111,95.1,95.19999999999999,0.1,Normal
65800,3.62,4.0,26.7,1107,100,87.0,88.4,1.4,Warning
65900,3.59,1.5,27.8,1203,001,98.2,98.3,0.1,Normal
66000,3.54,4.09,31.9,1324,011,92.7,94.5,1.8,Warning
66100,3.55,1.95,23.1,1133,110,86.2,85.4,0.8,Normal
66200,3.6,3.71,22.7,1335,010,94.3,93.89999999999999,0.4,Normal
66300,3.55,3.26,31.9,1327,001,85.1,84.1,1.0,Normal
66400,3.53,4.72,27.8,1287,000,96.6,96.3,0.3,Normal
66500,3.61,2.55,25.5,1121,000,94.8,94.0,0.8,Normal
66600,3.57,1.26,33.0,1139,010,88.2,87.0,1.2,Warning
66700,3.75,1.08,25.9,1272,100,90.6,91.89999999999999,1.3,Warning
66800,3.33,4.31,28.6,1278,111,85.1,84.1,1.0,Normal
66900,3.71,3.1,25.5,1185,111,95.4,92.7,2.7,Warning
67000,3.72,4.1,31.5,1232,010,89.8,90.7,0.9,Normal
67100,3.39,1.94,36.7,1112,011,93.6,92.6,1.0,Normal
67200,3.57,2.38,20.7,1127,010,99.4,97.0,2.4,Warning
67300,3.56,1.12,30.6,1183,000,89.5,90.7,1.2,Warning
67400,3.46,4.85,34.3,1379,100,99.9,98.2,1.7,Warning
67500,3.52,3.67,27.9,1362,100,94.5,94.3,0.2,Normal
67600,3.49,4.73,24.3,1265,101,88.6,86.6,2.0,Warning
67700,3.78,2.06,32.1,1392,010,91.6,92.3,0.7,Normal
67800,3.69,3.45,35.0,1167,011,96.1,95.6,0.5,Normal
67900,3.73,3.71,34.5,1325,000,91.7,93.5,1.8,Warning
68000,3.67,2.27,31.8,1269,001,86.0,84.8,1.2,Warning
68100,3.49,4.39,30.5,1185,111,87.5,86.3,1.2,Warning
68200,3.55,4.79,25.5,1232,111,96.9,95.60000000000001,1.3,Warning
68300,3.65,4.54,34.3,1277,111,94.7,93.5,1.2,Warning
68400,3.48,3.96,34.0,1351,100,93.5,93.1,0.4,Normal
68500,3.67,2.11,24.3,1114,111,87.5,89.2,1.7,Warning
68600,3.58,2.13,31.8,1322,010,97.6,95.6,2.0,Warning
68700,3.56,4.85,33.3,1300,101,99.4,99.0,0.4,Normal
68800,3.67,1.04,34.4,1206,011,85.6,84.5,1.1,Warning
68900,3.64,3.86,29.6,1349,011,86.2,86.0,0.2,Normal
69000,3.56,3.82,25.7,1188,110,98.3,94.89999999999999,3.4,Fault
69100,3.72,3.49,27.5,1224,111,97.2,97.60000000000001,0.4,Normal
69200,3.49,4.96,25.0,1212,000,94.3,94.7,0.4,Normal
69300,3.66,2.25,29.7,1236,100,99.2,101.0,1.8,Warning
69400,3.66,2.36,28.8,1346,000,94.7,94.0,0.7,Normal
69500,3.57,1.32,40.7,1265,111,88.2,84.9,3.3,Fault
69600,3.63,2.77,34.5,1249,101,95.9,95.2,0.7,Normal
69700,3.47,2.04,34.8,1167,001,94.7,93.9,0.8,Normal
69800,3.69,2.37,32.4,1320,111,99.8,97.8,2.0,Warning
69900,3.58,4.34,28.2,1370,001,88.2,87.5,0.7,Normal
70000,3.55,4.74,28.6,1119,001,94.0,91.7,2.3,Warning
70100,3.7,1.74,29.1,1388,011,96.7,94.2,2.5,Warning
70200,3.53,2.49,30.9,1199,100,90.1,90.5,0.4,Normal
70300,3.46,4.71,31.9,1351,111,90.7,92.3,1.6,Warning
70400,3.44,1.25,30.0,1176,000,98.3,96.8,1.5,Warning
70500,3.66,1.37,28.5,1234,000,91.1,90.1,1.0,Normal
70600,3.47,1.65,27.0,1272,101,94.4,95.5,1.1,Warning
70700,3.78,3.38,23.0,1300,001,98.3,98.8,0.5,Normal
70800,3.39,1.6,36.4,1316,100,88.1,88.6,0.5,Normal
70900,3.77,4.87,41.0,1307,100,99.7,99.0,0.7,Normal
71000,3.62,2.79,36.0,1173,101,95.5,93.5,2.0,Warning
71100,3.59,3.01,23.7,1110,010,92.4,90.30000000000001,2.1,Warning
71200,3.55,1.99,33.9,1386,100,91.5,89.8,1.7,Warning
71300,3.64,2.88,35.1,1355,100,99.3,99.2,0.1,Normal
71400,3.6,3.65,28.0,1111,000,88.1,84.3,3.8,Fault
71500,3.71,4.0,32.4,1177,101,89.7,89.2,0.5,Normal
71600,3.61,4.02,27.7,1271,111,89.6,89.69999999999999,0.1,Normal
71700,3.62,3.31,37.6,1195,100,89.3,90.8,1.5,Warning
71800,3.56,4.62,31.8,1372,100,92.0,92.0,0.0,Normal
71900,3.59,4.27,25.4,1278,000,99.8,98.6,1.2,Warning
72000,3.63,4.03,33.3,1163,111,98.3,100.2,1.9,Warning
72100,3.43,1.22,35.3,1231,111,89.9,90.80000000000001,0.9,Normal
72200,3.47,1.03,31.0,1371,100,91.3,91.5,0.2,Normal
72300,3.67,1.85,32.4,1208,000,95.0,95.7,0.7,Normal
72400,3.62,3.65,29.7,1372,010,85.3,86.1,0.8,Normal
72500,3.58,2.64,24.3,1267,011,97.3,95.1,2.2,Warning
72600,3.6,2.61,29.2,1279,110,98.2,100.2,2.0,Warning
72700,3.63,4.54,32.6,1157,000,97.9,97.10000000000001,0.8,Normal
72800,3.55,4.58,29.4,1178,000,90.6,89.3,1.3,Warning
72900,3.52,4.64,34.0,1160,100,91.9,92.10000000000001,0.2,Normal
73000,3.62,2.26,28.0,1220,000,85.2,85.0,0.2,Normal
73100,3.5,3.76,28.4,1306,101,91.0,90.6,0.4,Normal
73200,3.64,2.09,34.2,1133,001,91.9,90.4,1.5,Warning
73300,3.43,1.76,31.1,1169,001,98.6,95.8,2.8,Warning
73400,3.7,1.74,27.9,1116,010,98.4,99.80000000000001,1.4,Warning
73500,3.65,2.37,35.2,1119,111,99.5,100.4,0.9,Normal
73600,3.63,2.72,26.6,1168,000,98.3,99.1,0.8,Normal
73700,3.7,4.32,26.4,1314,111,85.1,84.6,0.5,Normal
73800,3.77,1.48,15.9,1260,101,94.6,94.69999999999999,0.1,Normal
73900,3.7,3.94,27.2,1201,100,86.0,84.5,1.5,Warning
74000,3.42,3.13,36.5,1305,100,89.1,89.6,0.5,Normal
74100,3.47,2.15,19.6,1244,110,93.7,94.5,0.8,Normal
74200,3.54,2.97,25.2,1156,011,95.5,96.1,0.6,Normal
74300,3.6,2.2,32.2,1182,010,94.8,94.1,0.7,Normal
74400,3.65,3.38,18.8,1368,101,85.7,83.8,1.9,Warning
74500,3.53,2.74,27.4,1286,111,86.6,86.19999999999999,0.4,Normal
74600,3.62,1.66,35.7,1105,101,86.9,87.2,0.3,Normal
74700,3.52,1.47,40.2,1209,110,86.4,87.4,1.0,Normal
74800,3.54,3.19,31.5,1237,110,87.7,85.0,2.7,Warning
74900,3.46,4.61,25.4,1150,100,95.3,97.39999999999999,2.1,Warning
75000,3.51,2.38,25.2,1150,111,97.5,97.3,0.2,Normal
75100,3.46,3.93,30.7,1186,011,91.1,89.5,1.6,Warning
75200,3.5,3.63,31.4,1167,100,95.4,95.2,0.2,Normal
